#General
Name: Spectrum
Artist: Zedd
Difficulty: 10

#Info
BPM: 130
SongLength: 180
LeadIn: 1.2
BeatsPerMeasure: 4
AppearanceTime: 2

#GameElements
2, Good, 10, 5
3, Good, 10, 5
4, Good, 10, 5
5, Good, 10, 5
6, Good, 10, 5
7, Good, 10, 5
8, Good, 10, 5
9, Good, 10, 5
10, Good, 10, 5
11, Good, 10, 5
12, Good, 10, 5
13, Good, 10, 5
14, Good, 10, 8
14, Bad, 10, 2
15, Good, 10, 5
16, Good, 10, 8
16, Bad, 10, 2
17, Good, 10, 5
18, Good, 10, 4
18, Bad, 10, 6
19, Good, 10, 5
20, Good, 10, 4
20, Bad, 10, 6
21, Good, 10, 5
22, Good, 10, 2
22, Bad, 10, 8
23, Good, 10, 5
24, Good, 10, 2
24, Bad, 10, 8
25, Good, 10, 5
26, Good, 10, 6
26, Bad, 10, 4
27, Good, 10, 5
28, Good, 10, 6
28, Bad, 10, 4
29, Good, 10, 5
30, Good, 10, 8
30, Bad, 10, 2
31, Good, 10, 5
32, Good, 10, 8
32, Bad, 10, 2
33, Good, 10, 5
34, Good, 10, 4
34, Bad, 10, 6
35, Good, 10, 5
36, Good, 10, 4
36, Bad, 10, 6
37, Good, 10, 5
38, Good, 10, 2
38, Bad, 10, 8
39, Good, 10, 5
40, Good, 10, 2
40, Bad, 10, 8
41, Good, 10, 5
42, Good, 10, 6
42, Bad, 10, 4
43, Good, 10, 5
44, Good, 10, 6
44, Bad, 10, 4
45, Good, 10, 5
45.5, Good, 10, 8
45.5, Bad, 10, 2
46, Good, 10, 5
46.5, Good, 10, 8
46.5, Bad, 10, 2
47, Good, 10, 5
47.5, Good, 10, 8
47.5, Bad, 10, 2
48, Good, 10, 5
48.5, Good, 10, 8
48.5, Bad, 10, 2
49, Good, 10, 5
49.5, Good, 10, 4
49.5, Bad, 10, 6
50, Good, 10, 5
50.5, Good, 10, 4
50.5, Bad, 10, 6
51, Good, 10, 5
51.5, Good, 10, 4
51.5, Bad, 10, 6
52, Good, 10, 5
52.5, Good, 10, 4
52.5, Bad, 10, 6
53, Good, 10, 5
53.5, Good, 10, 2
53.5, Bad, 10, 8
54, Good, 10, 5
54.5, Good, 10, 2
54.5, Bad, 10, 8
55, Good, 10, 5
55.5, Good, 10, 2
55.5, Bad, 10, 8
56, Good, 10, 5
56.5, Good, 10, 2
56.5, Bad, 10, 8
57, Good, 10, 5
57.5, Good, 10, 6
57.5, Bad, 10, 4
58, Good, 10, 5
58.5, Good, 10, 6
58.5, Bad, 10, 4
59, Good, 10, 5
59.5, Good, 10, 6
59.5, Bad, 10, 4
60, Good, 10, 5
60.5, Good, 10, 6
60.5, Bad, 10, 4
61, Good, 10, 5
62, Good, 10, 8
62, Bad, 10, 5
63, Good, 10, 7
63, Bad, 10, 8
64, Good, 10, 4
64, Bad, 10, 7
65, Good, 10, 1
65, Bad, 10, 4
66, Good, 10, 2
66, Bad, 10, 1
67, Good, 10, 3
67, Bad, 10, 2
68, Good, 10, 6
68, Bad, 10, 3
69, Good, 10, 9
69, Bad, 10, 6
70, Good, 10, 8
70, Bad, 10, 9
71, Good, 10, 7
71, Bad, 10, 8
72, Good, 10, 4
72, Bad, 10, 7
73, Good, 10, 1
73, Bad, 10, 4
74, Good, 10, 2
74, Bad, 10, 1
75, Good, 10, 3
75, Bad, 10, 2
76, Good, 10, 6
76.5, DoubleMult, 5
76, Bad, 10, 3
77, Good, 10, 9
77, Bad, 10, 6
78, Good, 10, 8
78, Bad, 10, 9
79, Good, 10, 9
79, Bad, 10, 8
80, Good, 10, 6
80, Bad, 10, 9
81, Good, 10, 3
81, Bad, 10, 6
82, Good, 10, 2
82, Bad, 10, 3
83, Good, 10, 1
83, Bad, 10, 2
84, Good, 10, 4
84, Bad, 10, 1
85, Good, 10, 7
85, Bad, 10, 4
86, Good, 10, 8
86, Bad, 10, 7
87, Good, 10, 9
87, Bad, 10, 8
88, Good, 10, 6
88, Bad, 10, 9
89, Good, 10, 3
89, Bad, 10, 6
90, Good, 10, 2
90, Bad, 10, 3
91, Good, 10, 1
91, Bad, 10, 2
92, Good, 10, 4
92, Bad, 10, 1
93, Good, 10, 7
93, Bad, 10, 4
94, Good, 10, 8
94, Bad, 10, 7
95, Good, 10, 5
95, Bad, 10, 8
96, Good, 10, 5
96, Bad, 10, 1
96, Bad, 10, 2
96, Bad, 10, 3
96, Bad, 10, 4
96, Bad, 10, 6
96, Bad, 10, 7
96, Bad, 10, 8
96, Bad, 10, 9
97, Good, 10, 5
97, Bad, 10, 1
97, Bad, 10, 2
97, Bad, 10, 3
97, Bad, 10, 4
97, Bad, 10, 6
97, Bad, 10, 7
97, Bad, 10, 8
97, Bad, 10, 9
98, Good, 10, 5
98, Bad, 10, 1
98, Bad, 10, 2
98, Bad, 10, 3
98, Bad, 10, 4
98, Bad, 10, 6
98, Bad, 10, 7
98, Bad, 10, 8
98, Bad, 10, 9
99, Good, 10, 5
99, Bad, 10, 1
99, Bad, 10, 2
99, Bad, 10, 3
99, Bad, 10, 4
99, Bad, 10, 6
99, Bad, 10, 7
99, Bad, 10, 8
99, Bad, 10, 9
100, Good, 10, 5
100, Bad, 10, 1
100, Bad, 10, 2
100, Bad, 10, 3
100, Bad, 10, 4
100, Bad, 10, 6
100, Bad, 10, 7
100, Bad, 10, 8
100, Bad, 10, 9
101, Good, 10, 5
101, Bad, 10, 1
101, Bad, 10, 3
101, Bad, 10, 6
101, Bad, 10, 8
102, Good, 10, 5
102, Bad, 10, 2
102, Bad, 10, 4
102, Bad, 10, 6
102, Bad, 10, 8
103, Good, 10, 5
103, Bad, 10, 2
103, Bad, 10, 4
103, Bad, 10, 6
103, Bad, 10, 8
104, Good, 10, 5
104, Bad, 10, 2
104, Bad, 10, 4
104, Bad, 10, 6
104, Bad, 10, 8
105, Good, 10, 5
105, Bad, 10, 1
105, Bad, 10, 3
105, Bad, 10, 7
105, Bad, 10, 9
106, Good, 10, 5
106.5, Shield, 2
106, Bad, 10, 1
106, Bad, 10, 3
106, Bad, 10, 7
106, Bad, 10, 9
107, Good, 10, 5
107, Bad, 10, 1
107, Bad, 10, 3
107, Bad, 10, 7
107, Bad, 10, 9
108, Good, 10, 5
108, Bad, 10, 1
108, Bad, 10, 3
108, Bad, 10, 7
108, Bad, 10, 9
109, Good, 10, 5
109, Bad, 10, 1
109, Bad, 10, 3
109, Bad, 10, 7
109, Bad, 10, 9
110, Good, 10, 4
111, Good, 10, 1
112, Good, 10, 4
113, Good, 10, 7
114, Good, 10, 8
115, Good, 10, 7
116, Good, 10, 8
117, Good, 10, 9
118, Good, 10, 6
119, Good, 10, 9
120, Good, 10, 6
121, Good, 10, 3
122, Good, 10, 2
123, Good, 10, 3
124, Good, 10, 2
125, Good, 10, 1
126, Good, 10, 4
